team_url,season,rank,url,name,salary
/teams/NJN/,2003-04,16,/players/s/slayta01.html,Tamar Slay,"$563,679"
/teams/NJN/,2003-04,17,/players/m/mooremi01.html,Mikki Moore,"$513,000"
/teams/NJN/,2003-04,18,/players/b/brownda02.html,Damone Brown,"$202,508"
/teams/NJN/,2003-04,19,/players/o/overtdo01.html,Doug Overton,"$104,390"
/teams/NJN/,1997-98,1,/players/g/gillke01.html,Kendall Gill,"$4,400,000"
/teams/NJN/,1997-98,2,/players/g/gatlich01.html,Chris Gatling,"$3,656,400"
/teams/NJN/,1997-98,3,/players/v/vanhoke01.html,Keith Van Horn,"$2,655,360"
/teams/NJN/,1997-98,4,/players/e/edwarke01.html,Kevin Edwards,"$2,640,000"
/teams/NJN/,1997-98,5,/players/c/cassesa01.html,Sam Cassell,"$2,500,000"
/teams/NJN/,1997-98,6,/players/w/willija01.html,Jayson Williams,"$2,500,000"
/teams/NJN/,1997-98,7,/players/m/macledo01.html,Don MacLean,"$2,120,000"
/teams/NJN/,1997-98,8,/players/c/cagemi01.html,Michael Cage,"$2,055,421"
/teams/NJN/,1997-98,9,/players/k/kittlke01.html,Kerry Kittles,"$1,559,040"
/teams/NJN/,1997-98,10,/players/d/dareyi01.html,Yinka Dare,"$1,552,500"
/teams/NJN/,1997-98,11,/players/h/harrilu01.html,Lucious Harris,"$1,440,000"
/teams/NJN/,1997-98,12,/players/b/benoida01.html,David Benoit,"$609,096"
/teams/NJN/,1997-98,13,/players/d/douglsh01.html,Sherman Douglas,"$272,250"
/teams/NJN/,1997-98,14,/players/h/haleyja01.html,Jack Haley,"$272,250"
/teams/NJN/,1997-98,15,/players/h/hensost01.html,Steve Henson,"$272,250"
/teams/CHA/,2013-14,1,/players/j/jeffeal01.html,Al Jefferson,"$13,500,000"
/teams/CHA/,2013-14,2,/players/g/gordobe01.html,Ben Gordon,"$13,200,000"
/teams/CHA/,2013-14,3,/players/h/hendege02.html,Gerald Henderson,"$6,000,000"
/teams/CHA/,2013-14,4,/players/s/sessira01.html,Ramon Sessions,"$5,000,000"
/teams/CHA/,2013-14,5,/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,"$4,809,840"
/teams/CHA/,2013-14,6,/players/z/zelleco01.html,Cody Zeller,"$3,857,040"
/teams/CHA/,2013-14,7,/players/b/biyombi01.html,Bismack Biyombo,"$3,049,920"
/teams/CHA/,2013-14,8,/players/m/mcrobjo01.html,Josh McRoberts,"$2,652,000"
/teams/CHA/,2013-14,9,/players/w/walkeke02.html,Kemba Walker,"$2,568,360"
/teams/CHA/,2013-14,10,/players/h/haywobr01.html,Brendan Haywood,"$2,050,000"
/teams/CHA/,2013-14,11,/players/p/pargoja01.html,Jannero Pargo,"$1,399,507"
/teams/CHA/,2013-14,12,/players/t/tollian01.html,Anthony Tolliver,"$1,027,424"
/teams/CHA/,2013-14,13,/players/a/adrieje01.html,Jeff Adrien,"$916,099"
/teams/CHA/,2013-14,14,/players/t/tayloje03.html,Jeff Taylor,"$788,872"
/teams/CHA/,2005-06,1,/players/w/wallage01.html,Gerald Wallace,"$5,000,000"
/teams/CHA/,2005-06,2,/players/k/knighbr01.html,Brevin Knight,"$4,600,000"
/teams/CHA/,2005-06,3,/players/o/okafoem01.html,Emeka Okafor,"$4,020,120"
/teams/CHA/,2005-06,4,/players/r/rushka01.html,Kareem Rush,"$3,000,000"
/teams/CHA/,2005-06,5,/players/f/feltora01.html,Raymond Felton,"$2,847,360"
/teams/CHA/,2005-06,6,/players/b/brezepr01.html,Primoz Brezec,"$2,750,000"
/teams/CHA/,2005-06,7,/players/e/elyme01.html,Melvin Ely,"$2,401,027"
/teams/CHA/,2005-06,8,/players/v/voskuja01.html,Jake Voskuhl,"$1,937,500"
/teams/CHA/,2005-06,9,/players/j/jonesju01.html,Jumaine Jones,"$1,875,000"
/teams/CHA/,2005-06,10,/players/m/mayse01.html,Sean May,"$1,619,280"
/teams/CHA/,2005-06,11,/players/c/carroma01.html,Matt Carroll,"$1,100,000"
/teams/CHA/,2005-06,12,/players/b/boganke01.html,Keith Bogans,"$869,373"
/teams/CHA/,2005-06,13,/players/r/robinbe01.html,Bernard Robinson,"$641,748"
/teams/CHA/,2005-06,14,/players/a/anderal01.html,Alan Anderson,"$398,762"
/teams/CHA/,2005-06,15,/players/b/burleke01.html,Kevin Burleson,"$398,762"
/teams/CHH/,1996-97,1,/players/d/divacvl01.html,Vlade Divac,"$4,718,000"
/teams/CHH/,1996-97,2,/players/r/ricegl01.html,Glen Rice,"$4,002,000"
/teams/CHH/,1996-97,3,/players/m/masonan01.html,Anthony Mason,"$2,777,000"
/teams/CHH/,1996-97,4,/players/c/curryde01.html,Dell Curry,"$1,830,000"
/teams/CHH/,1996-97,5,/players/b/boguemu01.html,Muggsy Bogues,"$1,575,000"
/teams/CHH/,1996-97,6,/players/g/geigema01.html,Matt Geiger,"$1,562,000"
/teams/CHH/,1996-97,7,/players/b/burresc01.html,Scott Burrell,"$1,235,000"
/teams/CHH/,1996-97,8,/players/d/delkto01.html,Tony Delk,"$870,000"
/teams/CHH/,1996-97,9,/players/z/zidekge01.html,George Zidek,"$694,000"
/teams/CHH/,1996-97,10,/players/a/addisra01.html,Rafael Addison,"$290,000"
/teams/CHH/,1996-97,11,/players/g/goldwan01.html,Anthony Goldwire,"$250,000"
/teams/CHH/,1996-97,12,/players/s/smithto02.html,Tony Smith,"$247,500"
/teams/CHH/,1996-97,13,/players/r/rosema01.html,Malik Rose,"$220,000"
/teams/CHH/,1996-97,14,,Carlos Strong,"$220,000"
/teams/CHH/,1990-91,1,/players/g/gminsmi01.html,Mike Gminski,"$1,650,000"
/teams/CHH/,1990-91,2,/players/g/gillke01.html,Kendall Gill,"$1,500,000"
/teams/CHH/,1990-91,3,/players/r/reidjr01.html,J.R. Reid,"$1,250,000"
/teams/CHH/,1990-91,4,/players/n/newmajo01.html,Johnny Newman,"$1,200,000"
/teams/CHH/,1990-91,5,/players/t/tripuke01.html,Kelly Tripucka,"$1,000,000"
/teams/CHH/,1990-91,6,/players/c/curryde01.html,Dell Curry,"$900,000"
/teams/CHH/,1990-91,7,/players/b/boguemu01.html,Muggsy Bogues,"$805,000"
/teams/CHH/,1990-91,8,/players/c/chapmre01.html,Rex Chapman,"$675,000"
/teams/CHH/,1990-91,9,/players/l/leckner01.html,Eric Leckner,"$485,000"
/teams/CHH/,1990-91,10,/players/g/gattike01.html,Kenny Gattison,"$355,000"
/teams/CHH/,1990-91,11,/players/k/keysra01.html,Randolph Keys,"$322,000"
/teams/CHH/,1990-91,12,/players/s/schefst01.html,Steve Scheffler,"$200,000"
/teams/CHH/,1990-91,13,/players/h/haffnsc01.html,Scott Haffner,"$75,000"
/teams/CHH/,1994-95,1,/players/m/mournal01.html,Alonzo Mourning,"$3,840,000"
/teams/CHH/,1994-95,2,/players/j/johnsla02.html,Larry Johnson,"$3,710,000"
/teams/CHH/,1994-95,3,/players/h/hawkihe01.html,Hersey Hawkins,"$2,500,000"
/teams/CHH/,1994-95,4,/players/p/parisro01.html,Robert Parish,"$1,925,000"
/teams/CHH/,1994-95,5,/players/c/curryde01.html,Dell Curry,"$1,340,000"
/teams/CHH/,1994-95,6,/players/g/gattike01.html,Kenny Gattison,"$1,250,000"
/teams/CHH/,1994-95,7,/players/a/adamsmi01.html,Michael Adams,"$1,240,000"
/teams/CHH/,1994-95,8,/players/b/boguemu01.html,Muggsy Bogues,"$1,125,000"
/teams/CHH/,1994-95,9,/players/b/burresc01.html,Scott Burrell,"$845,000"
/teams/CHH/,1994-95,10,/players/w/wingada01.html,David Wingate,"$570,000"
/teams/CHH/,1994-95,11,/players/t/tolbeto01.html,Tom Tolbert,"$325,000"
/teams/CHH/,1994-95,12,/players/b/benneto01.html,Tony Bennett,"$224,000"
/teams/CHH/,1994-95,13,/players/h/hancoda01.html,Darrin Hancock,"$150,000"
/teams/CHH/,1994-95,14,/players/w/wolfjo01.html,Joe Wolf,"$150,000"
/teams/CHH/,1994-95,15,/players/s/suttogr01.html,Greg Sutton,"$139,500"
/teams/CHH/,1994-95,16,/players/c/courtjo01.html,Joe Courtney,"$13,158"
/teams/CHH/,1993-94,1,/players/j/johnsla02.html,Larry Johnson,"$3,125,000"
/teams/CHH/,1993-94,2,/players/m/mournal01.html,Alonzo Mourning,"$3,120,000"
/teams/CHH/,1993-94,3,/players/h/hawkihe01.html,Hersey Hawkins,"$2,400,000"
/teams/CHH/,1993-94,4,/players/g/gminsmi01.html,Mike Gminski,"$1,850,000"
/teams/CHH/,1993-94,5,/players/g/gattike01.html,Kenny Gattison,"$1,250,000"
/teams/CHH/,1993-94,6,/players/r/robinru01.html,Rumeal Robinson,"$1,240,000"
/teams/CHH/,1993-94,7,/players/j/johnsed03.html,Eddie Johnson,"$1,150,000"
/teams/CHH/,1993-94,8,/players/c/curryde01.html,Dell Curry,"$1,040,000"
/teams/CHH/,1993-94,9,/players/b/boguemu01.html,Muggsy Bogues,"$900,000"
/teams/CHH/,1993-94,10,/players/b/burresc01.html,Scott Burrell,"$650,000"
/teams/CHH/,1993-94,11,/players/w/wingada01.html,David Wingate,"$570,000"
/teams/CHH/,1993-94,12,/players/l/lynchke01.html,Kevin Lynch,"$325,000"
/teams/CHH/,1993-94,13,/players/b/benneto01.html,Tony Bennett,"$182,000"
/teams/CHH/,1993-94,14,/players/e/ellisle02.html,LeRon Ellis,"$150,000"
/teams/CHA/,2004-05,1,/players/w/whiteja01.html,Jahidi White,"$6,166,466"
/teams/CHA/,2004-05,2,/players/o/okafoem01.html,Emeka Okafor,"$3,739,680"
/teams/CHA/,2004-05,3,/players/e/elyme01.html,Melvin Ely,"$1,742,400"
/teams/CHA/,2004-05,4,/players/w/wallage01.html,Gerald Wallace,"$1,652,453"
/teams/CHA/,2004-05,5,/players/b/brezepr01.html,Primoz Brezec,"$1,554,326"
/teams/CHA/,2004-05,6,/players/h/hartja01.html,Jason Hart,"$1,400,000"
/teams/CHA/,2004-05,7,/players/r/rushka01.html,Kareem Rush,"$1,174,200"
/teams/CHA/,2004-05,8,/players/s/smithst01.html,Steve Smith,"$1,100,000"
/teams/CHA/,2004-05,9,/players/k/knighbr01.html,Brevin Knight,"$932,546"
/teams/CHA/,2004-05,10,/players/h/houseed01.html,Eddie House,"$825,000"
/teams/CHA/,2004-05,11,/players/s/sampsja01.html,Jamal Sampson,"$695,046"
/teams/CHA/,2004-05,12,/players/s/slayta01.html,Tamar Slay,"$695,046"
/teams/CHA/,2004-05,13,/players/b/boganke01.html,Keith Bogans,"$620,046"
/teams/CHA/,2004-05,14,/players/k/kaponja01.html,Jason Kapono,"$620,046"
/teams/CHA/,2004-05,15,/players/s/smithth01.html,Theron Smith,"$620,046"
/teams/CHA/,2004-05,16,/players/r/robinbe01.html,Bernard Robinson,"$385,277"
/teams/CHA/,2006-07,1,/players/w/wallage01.html,Gerald Wallace,"$5,525,000"
/teams/CHA/,2006-07,2,/players/k/knighbr01.html,Brevin Knight,"$4,400,000"
/teams/CHA/,2006-07,3,/players/o/okafoem01.html,Emeka Okafor,"$4,300,560"
/teams/CHA/,2006-07,4,/players/w/willier01.html,Eric Williams,"$4,296,000"
/teams/CHA/,2006-07,5,/players/m/morriad01.html,Adam Morrison,"$3,616,680"
/teams/CHA/,2006-07,6,/players/m/mcinnje01.html,Jeff McInnis,"$3,600,000"
/teams/CHA/,2006-07,7,/players/f/feltora01.html,Raymond Felton,"$3,060,840"
/teams/CHA/,2006-07,8,/players/b/brezepr01.html,Primoz Brezec,"$2,750,000"
/teams/CHA/,2006-07,9,/players/h/harriot01.html,Othella Harrington,"$2,200,000"
/teams/CHA/,2006-07,10,/players/v/voskuja01.html,Jake Voskuhl,"$2,000,000"
/teams/CHA/,2006-07,11,/players/h/herrmwa01.html,Walter Herrmann,"$1,800,000"
/teams/CHA/,2006-07,12,/players/m/mayse01.html,Sean May,"$1,740,720"
/teams/CHA/,2006-07,13,/players/c/carroma01.html,Matt Carroll,"$1,188,000"
/teams/CHA/,2006-07,14,/players/a/anderde01.html,Derek Anderson,"$901,397"
/teams/CHA/,2006-07,15,/players/h/holliry01.html,Ryan Hollins,"$412,718"
